feature,lo,hi,spread,best
atr_pct,0.050872751551177604,3.5646225306659565,3.513749779114779,3.5646225306659565
rvol20,0.1252035964035964,2.800285314685315,2.675081718281718,2.800285314685315
iv_rank,0.45949677185065685,2.065747887381229,1.606251115530572,2.065747887381229
to_hi20,2.14372987012987,0.7298453546453546,1.4138845154845157,2.14372987012987
iv_chg5,0.8911591423988119,2.283828325383285,1.3926691829844735,2.283828325383285
rvol_rank,0.4765750456026567,1.7327704575882292,1.2561954119855725,1.7327704575882292
to_hi50,1.809655999544776,0.6756941070388998,1.1339618925058763,1.809655999544776
rng_rank,0.4782976060084494,1.432112493422119,0.9538148874136695,1.432112493422119
atr_rank,0.5187500650704114,1.4721932493973942,0.9534431843269829,1.4721932493973942
to_lo50,0.8429451236326868,1.642404982950989,0.7994598593183021,1.642404982950989
to_lo20,0.9436075924075924,1.7131516483516485,0.769544055944056,1.7131516483516485
age_lo,1.4997396787380632,0.7646234573855926,0.7351162213524707,1.4997396787380632
vol_rank,0.4942953530844156,1.1542582213604755,0.6599628682760599,1.2448171162712185
to_ema20,1.9306797883709776,1.29000577788016,0.6406740104908177,1.9306797883709776
mom10,1.8962079630639954,1.2641386420426637,0.6320693210213318,1.8962079630639954
mom5,1.9545056358735604,1.3722502144082334,0.5822554214653272,1.9545056358735604
skew,0.7322204906204907,1.2703584415584417,0.538137950937951,1.2703584415584417
vol_surge,0.6363728003856858,1.105279074354086,0.46890627396840007,1.105279074354086
ema_stack,1.745980974535787,1.3650396710007062,0.3809413035350808,1.745980974535787
mom20,1.8108715284715284,1.5207656343656344,0.29010589410589405,1.8108715284715284
streak,1.0053567212008772,0.718294855570163,0.2870618656307141,1.1064555001379994
pos20,1.1054561438561439,0.830618981018981,0.27483716283716286,1.1054561438561439
age_hi,0.8627847548058539,1.0825007678519858,0.21971601304613184,1.2542749163157325
pos50,1.060192781102638,0.8429451236326868,0.21724765746995098,1.060192781102638
close_pos,1.0128103035211626,1.2236296416581383,0.2108193381369756,1.2236296416581383
rs5,1.6004709323695172,1.4073610940945849,0.19310983827493236,1.6004709323695172
iv_vs_rv,0.702712643678161,0.8806723391550978,0.17795969547693688,1.1590195551574862
mom1,1.8347409697752313,1.698727049302935,0.13601392047229643,1.8347409697752313
rs20,1.3986157842157843,1.514658141858142,0.11604235764235768,1.514658141858142
gap,1.8376348829767695,1.724772268116779,0.11286261485999054,1.8376348829767695
oi_chg5,0.8805000927841619,0.8088811551154201,0.07161893766874174,1.0585191259252693
breadth,1.5564323698585536,1.597622899787402,0.04119052992884837,1.597622899787402
rs1,1.5511374760244858,1.5282089738782652,0.0229285021462208,1.5511374760244858
