rung,n_sig,n_non,pooled sum(pnl)/sum(cost),equal-weighted mean,median trade,win rate,per-session mean,per-session median,positive sessions,premium as % of spot,>=2x,>=3x,>=5x,>=10x,t_sig
ATM,1997,17806,19.04899573610509,-10.367467247257355,8.43144065999443,4.8735604811238,-3.263577882206098,-8.08879619262169,-3.7482468443197803,1.0792743886507496,2.675050428051378,-3.57742893122116,-3.444206520946195,-1.1574224191504598,-0.9193295424143009
ATM+1,874,10749,10.761639311896015,15.435240660017634,28.071073653707394,10.806092759839508,-7.838321861847471,-24.14820720434564,-8.308570534876445,0.8973173403789381,8.887240428730212,0.6046009708103313,-0.7629148834663564,0.3437071363990434,-0.6374628888456404
ATM+2,1927,16123,12.312484064377387,3.067179334983841,22.313966512664223,4.209714235926519,-20.620126321929654,-23.528849132558424,0.48589116038007063,0.8271187955749335,3.272539549926595,-0.809948276130104,-4.98895346589775,-2.803364805089932,-0.4665546456202769
