month,roi,move,win,n
2025-02,7.7528471114019535,0.011658408627224226,56.24842846366608,11931
2025-03,-21.633018475443432,2.075979156160712,34.20676302994302,45453
2025-04,-33.52978141688961,1.801287798516582,33.70939332456355,44851
2025-05,-17.94938334859875,1.0108604845446845,40.77599228375403,54949
2025-06,-10.08250608367629,0.2230187176423648,46.98198887698352,58797
2025-07,1.710916647357275,-0.8425105964463386,57.17732585466738,63826
2025-08,-35.169460297645266,1.4440822162849587,36.48028883684621,20496
2025-09,-31.991516701058597,1.93562748042152,32.61904761904762,840
2025-10,-69.27033714174156,0.5625228531718207,41.1660777385159,1132
2025-11,-0.8587563954436821,-0.21707670043416005,49.45598417408507,1011
2025-12,-52.94131342293017,2.6058364159474046,23.050556983718938,1167
2026-01,-35.96699433691812,1.0796804145972727,38.72255489021956,501
2026-02,-26.063267452856,1.038295052645699,45.8955223880597,536
2026-04,-71.13341593939336,4.62607606911436,15.55944055944056,1144
2026-05,-63.61642517760421,0.27182502054492463,49.7875955819881,1177
2026-06,35.41340874483353,-4.5992661370239665,73.55889724310777,798
2026-07,-11.092700225556944,0.04461259887958979,47.60626229012252,52888
2026-08,-25.94634549772481,-0.6045640326975521,49.023555466076104,24835
