cost,roi,win,rs,t,n,openable
0.05,-7.959788965670822,50.841750841750844,-1.5404684107744107,-0.4556626111058415,1188,100.0
0.25,-9.484477902581173,46.360485268630846,-1.8823960000000006,-0.854020143212067,1154,97.13804713804713
0.5,-12.89734269453204,39.603960396039604,-2.7024135319531952,-1.3170401012853095,1111,93.51851851851852
1.0,-16.73629377662399,34.64052287581699,-4.216459448801744,-1.3893468471463186,918,77.27272727272727
1.5,-19.1521511627907,31.93717277486911,-5.721680091623038,-1.4719551208264812,764,64.3097643097643
