exit,prefix,pnl,roi,win,p10,t,days,n
2h,quoted,-0.5460692396272127,-3.256254804261259,27.82963024145811,-19.267171809101022,-6.566329308829483,0.0,290568
EOD,quoted,-0.2519405318248989,-1.5454165744496717,33.671372029421256,-19.67889212239533,-5.513030829322519,1.0,176607
2d,quoted,-0.024428628896892023,-0.15728736883200387,37.23594940949828,-19.5555877748461,-2.2186581214749954,2.0,119390
5d,quoted,0.38573290960037376,2.6773520475750154,45.091400360264196,-18.617686274509772,0.7195175448751127,7.0,59956
2h,i_,-1.121517393018388,-5.41641132340743,37.22662189191385,-102.6646131147541,-8.027336655850833,0.0,516958
EOD,i_,-1.4412665765948647,-6.941413931985996,43.5039046810666,-103.65898305084747,-4.186363014131104,1.0,505419
2d,i_,-2.0046314947918416,-9.729189595308265,44.54994446875105,-104.46097087378641,-5.167093363688863,2.0,475408
5d,i_,-3.1550429028437432,-15.236980027020227,44.531870782721676,-106.4053071205946,-6.2913940710281695,7.0,386357
