exit,trades,deployed,pnl,pct,mean,median,worst
exit same day,482,9922012.5,-1882199.4357000003,-18.9699361465227,-3904.978082365146,-3158.0467499999986,-22400.4325
hold 2 sessions,309,6685639.75,-1735690.7737000003,-25.961476217739676,-5617.12224498382,-4507.6900000000005,-25634.891999999996
30% trail,791,15413386.0,-2725512.4481800003,-17.682762555742134,-3445.6541696333757,-2920.482,-24611.1
