exit,trigger,control,difference,t,n,control_win,control_n
30m,0.9649200683699207,0.9722721742049671,-0.009050227043209982,-1.264604056502343,764,36.71961000157257,12718
1h,0.9417854053244272,0.9492686911712923,-0.00961521918944206,-1.5740370861871855,739,33.19043693322341,12130
2h,0.907704199977849,0.9094066889286094,-0.0007573143583650434,0.36746974196915944,685,27.435226144262888,11077
EOD,0.7874513038937354,0.8080104794102924,-0.010610517882311927,-1.0933544175599899,471,15.823899371069183,7950
2d,0.7288588736765719,0.7566198791705525,-0.011285642282922378,-1.6006644435186594,302,8.803301237964236,5089
trail 30%,0.8226413816566382,0.8278636813452939,-0.011906840771679519,-1.7899496474651304,774,15.558622804999617,13041
