symbol,type,strike,cycle,from,to,multiple,start,end,bars,dte_at_low,stock_1h_before,moneyness_at_low
DIVISLAB,CALL,6050.0,202601,6.3,39.0,6.190476190476191,2026-01-27 09:30:00,2026-01-27 09:45:00,1,2,0.4403822185292894,-0.09917355371901193
GLENMARK,CALL,1300.0,202502,1.85,11.25,6.081081081081081,2025-02-27 09:30:00,2025-02-27 12:00:00,5,0,-0.9927351565174325,0.11538461538460609
SRF,CALL,3050.0,202507,5.0,30.1,6.0200000000000005,2025-07-31 11:30:00,2025-07-31 12:45:00,5,0,0.06267317588073418,-0.540983606557377
PGEL,CALL,820.0,202507,0.25,1.5,6.0,2025-07-31 13:30:00,2025-07-31 13:45:00,1,0,-0.10357012306567714,-0.018292682926823733
M&M,CALL,3000.0,202505,2.1,12.5,5.9523809523809526,2025-05-29 14:30:00,2025-05-29 15:00:00,2,0,-0.28284307200852066,-0.11000000000001009
YESBANK,CALL,21.0,202601,0.18,1.06,5.888888888888889,2026-01-23 13:30:00,2026-01-28 09:15:00,4,6,-1.958041958041945,0.14285714285715567
INFY,CALL,1640.0,202601,7.4,43.1,5.824324324324325,2025-12-29 14:15:00,2026-01-01 12:45:00,7,31,0.1642335766423475,0.4085365853658596
TVSMOTOR,CALL,3500.0,202604,5.2,30.2,5.8076923076923075,2026-04-28 14:00:00,2026-04-28 14:45:00,3,2,0.12014417300760805,0.0
INFY,CALL,1760.0,202502,0.7,4.05,5.785714285714286,2025-02-27 13:30:00,2025-02-27 14:30:00,2,0,-0.3907798606784918,-0.06818181818182278
YESBANK,CALL,20.0,202604,0.17,0.97,5.705882352941176,2026-04-24 09:45:00,2026-04-29 12:45:00,7,6,-0.7477567298105559,-0.44999999999999485
WIPRO,CALL,190.0,202604,1.4,7.97,5.692857142857143,2026-03-27 14:45:00,2026-04-01 15:15:00,4,34,-0.32949790794979394,0.29999999999998916
TRENT,CALL,4700.0,202510,34.7,195.6,5.636887608069164,2025-09-30 09:45:00,2025-10-01 09:15:00,2,30,0.04279397080499958,0.72340425531916
GLENMARK,CALL,1480.0,202503,2.15,12.1,5.627906976744186,2025-03-27 10:45:00,2025-03-27 11:45:00,4,0,0.101940263005873,-0.4763513513513451
ASHOKLEY,CALL,210.0,202602,0.34,1.91,5.617647058823529,2026-02-24 12:45:00,2026-02-24 15:15:00,5,2,-0.04759638267491928,0.0
LUPIN,CALL,1900.0,202508,0.9,5.0,5.555555555555555,2025-08-28 14:00:00,2025-08-28 14:45:00,1,0,0.2375673107380516,-0.06842105263157316
DIVISLAB,CALL,6550.0,202506,4.9,27.1,5.530612244897959,2025-06-26 10:30:00,2025-06-26 12:45:00,4,0,-0.2662609357169998,0.07633587786259888
RBLBANK,CALL,275.0,202510,2.9,16.0,5.517241379310345,2025-09-26 10:30:00,2025-10-03 14:45:00,32,34,0.14548099654483337,0.12727272727273142
HINDZINC,CALL,440.0,202506,0.8,4.4,5.5,2025-06-26 11:15:00,2025-06-26 14:00:00,11,0,-0.46490531806328006,-0.2500000000000058
TVSMOTOR,CALL,3460.0,202604,27.0,148.4,5.496296296296297,2026-03-27 11:30:00,2026-04-01 09:15:00,1,34,0.21668159362089323,0.25433526011560126
KALYANKJIL,CALL,390.0,202604,3.8,20.8,5.473684210526316,2026-03-27 14:00:00,2026-04-01 12:15:00,8,34,-0.4704386522568438,0.35897435897436214
POLICYBZR,CALL,1780.0,202505,2.6,14.1,5.4230769230769225,2025-05-29 12:30:00,2025-05-29 13:15:00,3,0,-0.5778076966229118,-0.43258426966292784
VEDL,CALL,450.0,202505,0.75,4.05,5.3999999999999995,2025-05-29 09:15:00,2025-05-29 13:00:00,15,0,-0.3812701060407542,-0.6999999999999895
SHRIRAMFIN,CALL,990.0,202601,1.5,8.0,5.333333333333333,2026-01-27 14:15:00,2026-01-27 14:30:00,1,2,-0.4875841962400762,-0.015151515151512474
DIXON,CALL,13750.0,202502,26.4,139.15,5.270833333333334,2025-02-27 12:00:00,2025-02-27 13:30:00,5,0,-0.20190123664506343,-0.7647272727272725
