slice,n,cost,hold,hold_win,best,best_win,target,target_win,t,target_hit
all entries,3452,49.575,-33.5538540797743,19.611819235225955,21.675845124586687,53.650057937427576,-36.29607409320679,24.275782155272303,-4.247706548061284,19.32213209733488
SIGNAL (top 10%),68,62.95,-27.22970409552997,25.0,33.14115636265424,63.23529411764706,-26.040766917590403,29.411764705882355,-0.7655797676088223,23.52941176470588
no signal,3384,49.125,-33.74156298903286,19.50354609929078,21.335539933822815,53.45744680851063,-36.60046480640024,24.1725768321513,-4.25666941542985,19.23758865248227
