scan,symbol,when,bar,sector,cap,entry,signal_move,ret_15m,ctl_15m,exc_15m,mfe_15m,mae_15m,mfe_ctl_15m,ret_30m,ctl_30m,exc_30m,mfe_30m,mae_30m,mfe_ctl_30m,ret_1h,ctl_1h,exc_1h,mfe_1h,mae_1h,mfe_ctl_1h,ret_2h,ctl_2h,exc_2h,mfe_2h,mae_2h,mfe_ctl_2h,ret_EOD,ctl_EOD,exc_EOD,mfe_EOD,mae_EOD,mfe_ctl_EOD,ret_2d,ctl_2d,exc_2d,mfe_2d,mae_2d,mfe_ctl_2d,ret_5d,ctl_5d,exc_5d,mfe_5d,mae_5d,mfe_ctl_5d
ARC15MIN,TATAELXSI,2026-08-05 13:00:00,2026-08-05 13:15:00,I.T,Largecap,3748.2,0.2299711199058807,0.04268715650179722,-0.1429471020124833,0.18563425851428053,0.2881383063870757,-0.05335894562723542,0.200312523840442,0.08003841844084203,-0.04440820493050472,0.12444662337134675,0.2881383063870757,-0.05335894562723542,0.22936810110104258,0.258790886292104,-0.0767795978455952,0.3355704841376992,0.2881383063870757,-0.05335894562723542,0.3012815312758666,-0.06669868203403873,0.09940065739721268,-0.1660993394312514,1.4033402699962672,-0.40286003948561966,0.8557403262045719,-0.4642228269569282,0.05228003814869882,-0.516502865105627,1.4033402699962672,-0.8857584974120813,1.3068195888769458,1.3819966917453685,-0.09342421765588772,1.4754209094012563,2.2784269782829103,-0.8857584974120813,1.756353948595115,-0.7230137132490211,-0.21881606139868265,-0.5041976518503384,2.902726642121567,-1.6861426818206016,2.822840600188006
ARC15MIN,CAMS,2026-08-05 13:00:00,2026-08-05 13:15:00,Financials,Midcap,810.4,-0.34431874077718305,0.0,-0.1429471020124833,0.1429471020124833,0.32699901283317345,-0.09871668311943749,0.200312523840442,0.03701875616979322,-0.04440820493050472,0.08142696110029794,0.32699901283317345,-0.09871668311943749,0.22936810110104258,0.06169792694965537,-0.0767795978455952,0.13847752479525055,0.32699901283317345,-0.2159427443237938,0.3012815312758666,-0.29615004935833467,0.09940065739721268,-0.3955507067555474,0.5120927936821396,-0.7280355380059222,0.8557403262045719,-1.2833168805528095,0.05228003814869882,-1.3355969187015082,0.5120927936821396,-1.4992596248766032,1.3068195888769458,-3.5044422507403694,-0.09342421765588772,-3.4110180330844817,0.5120927936821396,-3.991855873642647,1.756353948595115,-4.411401776900292,-0.21881606139868265,-4.192585715501609,0.5120927936821396,-4.861796643632776,2.822840600188006
ARC15MIN,SWIGGY,2026-08-05 13:00:00,2026-08-05 13:15:00,I.T,Largecap,290.55,0.397373876986884,-0.4818447771468004,-0.1429471020124833,-0.3388976751343171,0.05162622612286949,-0.516262261228706,0.200312523840442,-0.36138358286009753,-0.04440820493050472,-0.3169753779295928,0.05162622612286949,-0.516262261228706,0.22936810110104258,-0.4990535191877421,-0.0767795978455952,-0.4222739213421469,0.05162622612286949,-0.6883496816382673,0.3012815312758666,1.5659955257270708,0.09940065739721268,1.4665948683298582,1.6348304938909042,-1.3594906212355817,0.8557403262045719,-0.36138358286009753,0.05228003814869882,-0.41366362100879633,4.973326449836524,-1.3594906212355817,1.3068195888769458,-3.2524522457408334,-0.09342421765588772,-3.1590280280849456,4.973326449836524,-4.233350542075376,1.756353948595115,-4.095680605747731,-0.21881606139868265,-3.8768645443490484,4.973326449836524,-6.005850972293924,2.822840600188006
ARC15MIN,BAJFINANCE,2026-08-05 13:30:00,2026-08-05 13:45:00,Financials,Largecap,1145.2,-0.1917378420777438,0.35801606706251654,0.06220318923101238,0.2958128778315042,0.6287111421585889,0.0,0.301269650443776,0.3754802654558187,0.06753610097792159,0.3079441644778971,0.6287111421585889,0.0,0.34296601614820704,0.5326580509954493,0.15791347067446979,0.37474458032097946,0.681103737338451,0.0,0.4344008760351381,1.0653161019909207,0.39982718057456845,0.6654889214163523,1.2399580859238535,-0.05239259517989536,1.135365143905584,0.7422284317149863,0.2716221397245324,0.4706062919904539,1.30981487949704,-0.05239259517989536,1.4741943478128519,-6.112469437652813,0.07447869181293688,-6.186948129465749,1.30981487949704,-6.129933636046115,1.918617235309119,-4.994760740482018,0.006011770563270875,-5.000772511045289,1.30981487949704,-6.496681802305282,2.971758600860396
ARC15MIN,PREMIERENE,2026-08-05 13:45:00,2026-08-05 14:00:00,Services,Largecap,1035.0,0.11607661056296514,-0.24154589371980784,-0.03014073793281164,-0.2114051557869962,0.08695652173913437,-0.38647342995169476,0.2046315014638371,0.2512077294685833,-0.05941046979883651,0.3106181992674198,0.3478260869565153,-0.38647342995169476,0.24911938463564445,0.0,0.05485692365155604,-0.05485692365155604,0.3478260869565153,-0.38647342995169476,0.39255738257939216,0.4637681159420204,0.2904915756241014,0.173276540317919,0.9855072463768266,-0.47342995169082913,1.0570466714400375,0.4251207729468742,0.17856624861346362,0.2465545243334106,0.9855072463768266,-0.48309178743961567,1.3888487733727783,0.9371980676328606,-0.004152351609415139,0.9413504192422758,2.657004830917864,-1.256038647342994,1.8261527816420395,-0.08695652173913437,0.06623177612661262,-0.153188297865747,2.70531400966183,-1.3140096618357466,2.9826107851221613
ARC15MIN,BHARTIARTL,2026-08-05 14:00:00,2026-08-05 14:15:00,Telecom-Service,Largecap,1960.9,-0.1629244946794839,-0.22438676118109457,-0.0203375584507654,-0.20404920273032917,0.0050996991177498785,-0.4640726197154388,0.22665916148643392,-0.06629608853078173,0.09926242798945094,-0.16555851652023268,0.0968942832372921,-0.4640726197154388,0.30020357085212607,0.2192870620633336,0.18538912061180512,0.03389794145152847,0.4130756285379178,-0.4640726197154388,0.8982021785735893,0.11729307970829161,0.3560906106171752,-0.23879753090888356,0.4130756285379178,-0.4640726197154388,1.125008298315217,-0.5150696108929598,0.16334147694961132,-0.6784110878425711,0.4640726197154388,-0.6272629914835126,1.4239120068497713,-0.2855831505941264,0.07554450904552201,-0.36112765963964844,0.4640726197154388,-1.1525320006119721,1.8811817603671213,-1.2494262838492531,0.1076858012649911,-1.3571120851142442,0.4640726197154388,-3.0394206741802265,3.053800472490276
ARC15MIN,CROMPTON,2026-08-05 14:00:00,2026-08-05 14:15:00,Consumer Discretionary,Midcap,266.25,-0.13128282070518082,0.28169014084507005,-0.0203375584507654,0.30202769929583545,0.41314553990610126,-0.187793427230043,0.22665916148643392,0.4882629107981318,0.09926242798945094,0.3890004828086808,0.5446009389671325,-0.187793427230043,0.30020357085212607,0.46948356807512415,0.18538912061180512,0.284094447463319,0.7323943661971866,-0.4319248826290978,0.8982021785735893,0.7323943661971866,0.3560906106171752,0.3763037555800114,1.2957746478873267,-0.4319248826290978,1.125008298315217,0.7136150234741789,0.16334147694961132,0.5502735465245676,1.615023474178412,-0.4319248826290978,1.4239120068497713,-6.460093896713614,0.07554450904552201,-6.535638405759136,1.615023474178412,-6.741784037558684,1.8811817603671213,-7.230046948356805,0.1076858012649911,-7.337732749621797,1.615023474178412,-9.276995305164315,3.053800472490276
ARC15MIN,GVT&D,2026-08-05 14:15:00,2026-08-05 14:30:00,Industrials,Largecap,4355.4,-0.2861787128826232,0.24337603894017956,0.08973033627579352,0.15364570266438604,0.2663360426137684,-0.9528401524544261,0.2526581158945336,0.5418560866969901,0.0845137702344411,0.4573423164625491,0.564816090370579,-0.9528401524544261,0.35916829908098236,-1.2719842035174622,0.25429943656855863,-1.526283640086021,0.564816090370579,-6.989025118244008,0.9378317638597138,-0.8724801395968207,0.3572002821517755,-1.2296804217485962,0.564816090370579,-6.989025118244008,1.1299689954640222,0.3076640492262639,0.0951184883229506,0.21254556090331328,0.564816090370579,-6.989025118244008,1.4161473901096406,-1.6163842586214727,0.06800821260033234,-1.684392471221805,2.2179363548698205,-6.989025118244008,1.8702025562021263,-1.083712173393947,0.05668907495902099,-1.140401248352968,4.445056711209072,-6.989025118244008,3.0561312936250093
ARC15MIN,AXISBANK,2026-08-05 14:15:00,2026-08-05 14:30:00,Bank,Largecap,1248.3,-0.05604483586869602,0.3364575823119553,0.08973033627579352,0.2467272460361618,0.3364575823119553,-0.08010894816951053,0.2526581158945336,0.5367299527357261,0.0845137702344411,0.45221618250128504,0.5367299527357261,-0.08010894816951053,0.35916829908098236,0.5046863734679219,0.25429943656855863,0.25038693689936325,0.9292637987663221,-0.08010894816951053,0.9378317638597138,0.4806536890170632,0.3572002821517755,0.12345340686528766,0.9292637987663221,-0.08010894816951053,1.1299689954640222,0.5767844268204758,0.0951184883229506,0.4816659384975252,0.9292637987663221,-0.08010894816951053,1.4161473901096406,-0.42457742529840026,0.06800821260033234,-0.4925856378987326,0.9292637987663221,-0.7370023231594969,1.8702025562021263,-2.2350396539293382,0.05668907495902099,-2.2917287288883594,0.9292637987663221,-2.5154209725226195,3.0561312936250093
ARC15MIN,UNITDSPR,2026-08-05 14:15:00,2026-08-05 14:30:00,FMCG,Largecap,1528.2,0.006544074340686379,-0.013087292239233328,0.08973033627579352,-0.10281762851502685,0.09815469179426106,-0.07852375343542217,0.2526581158945336,-0.24865855254547764,0.0845137702344411,-0.3331723227799187,0.09815469179426106,-0.24865855254547764,0.35916829908098236,0.1832220913492888,0.25429943656855863,-0.07107734521926984,0.3795314749378331,-0.7721502421148996,0.9378317638597138,-0.35990053657898313,0.3572002821517755,-0.7171008187307586,0.3795314749378331,-0.7721502421148996,1.1299689954640222,-0.4057060594163109,0.0951184883229506,-0.5008245477392614,0.3795314749378331,-0.7721502421148996,1.4161473901096406,-1.0338960868996216,0.06800821260033234,-1.101904299499954,0.3795314749378331,-1.0338960868996216,1.8702025562021263,-0.039261876717711086,0.05668907495902099,-0.09595095167673207,1.204030886009666,-1.648998822143699,3.0561312936250093
