horizon,need_pct,median_delivered_pct,cleared_pct,n
30m,0.17827426106775807,-0.015233839435324636,31.286210892236383,863
1h,0.2745915626637239,-0.058139067990314874,27.937649880095922,834
2h,0.4393925210766288,-0.06925207756233176,25.269461077844312,835
EOD,0.9945628890634727,-0.12769431575331835,26.713947990543733,846
2d,1.276838555079053,-0.026075619295951036,29.49194547707559,807
