bucket,quoted,imputed,win,quoted_n,n,quoted_pct
0-7 days,33.79784395074746,-15.167406850387245,48.59452071076247,2349,16827,13.959707612765198
8-14 days,11.173552408916033,-24.163616418473108,49.314647915222345,15472,100970,15.323363375259978
15-21 days,-0.5238330003082982,-33.91572461724063,39.20390703106337,15559,113027,13.765737390181107
22+ days,-4.4318735606522415,-26.910893761144948,44.94898782521382,18457,111542,16.547130228972048
