feature,lo,hi,spread,best
atr_pct,0.14812948245784066,2.038364668690986,1.8902351862331457,2.038364668690986
rvol20,0.2084971580143994,1.8243501326259948,1.6158529746115953,1.8243501326259948
iv_rank,0.31838467001396653,1.6569019513370273,1.3385172813230608,1.6569019513370273
to_lo20,0.7662270557029178,1.8868992800303146,1.1206722243273965,1.8868992800303146
atr_rank,0.505196937709253,1.3857802835668929,0.88058334585764,1.3857802835668929
mom20,1.0998225085259568,1.9181738537324744,0.8183513452065178,1.9181738537324744
rvol_rank,0.5113204183855105,1.2994887516820754,0.788168333296565,1.2994887516820754
rng_rank,0.45718653926049024,1.1932710488172371,0.7360845095567469,1.1932710488172371
skew,0.7529064039408867,1.4455802955665025,0.6926738916256157,1.4455802955665025
vol_rank,0.3915260352524631,1.0238395643266713,0.6323135290742081,1.0238395643266713
mom5,1.7130174446974626,1.118705270006506,0.5943121746909564,1.7130174446974626
age_lo,1.1704808143780905,0.6086719589641302,0.5618088554139602,1.7294495025391619
to_hi50,1.2618224110536094,0.7137004587407293,0.5481219523128801,1.2618224110536094
rs5,1.7629596442513245,1.253549208801933,0.5094104354493912,1.7629596442513245
to_hi20,1.3708688139446759,0.8704756347101175,0.5003931792345585,1.3708688139446759
rs20,1.1988586585827965,1.6523399772641152,0.45348131868131863,1.6523399772641152
ema_stack,1.0984902244179702,1.527049190894936,0.42855896647696584,1.527049190894936
iv_chg5,1.0821873373597513,1.4987480024828643,0.4165606651231132,1.4987480024828643
gap,1.6004337905610333,1.1953857324560804,0.4050480581049529,1.6004337905610333
to_lo50,0.8678597578287268,1.2675320147235352,0.39967225689480834,1.2675320147235352
age_hi,1.2374167812649346,0.8670515859008623,0.3703651953640723,1.5793959931481345
rs1,1.7831993777547315,1.4376362437453938,0.34556313400933775,1.7831993777547315
oi_chg5,0.9176498397360136,0.5999798205076193,0.3176700192283942,1.221385068679702
mom1,1.7733201568253425,1.472003918478975,0.3013162383463674,1.7733201568253425
vol_surge,0.8471496353591661,1.1381949088567938,0.29104527349762765,1.1381949088567938
streak,1.0560245665664385,0.8494237338689757,0.20660083269746277,1.1056208893081538
pos50,0.9647604384111952,0.7879253064497651,0.17683513196143,1.0
mom10,1.3118738433145514,1.4385025926692379,0.12662874935468646,1.4385025926692379
close_pos,1.182059770687829,1.059082503362617,0.1229772673252121,1.182059770687829
breadth,0.8305039998902259,0.9506393989152611,0.12013539902503502,1.8734082874529123
iv_vs_rv,0.8022347545439102,0.919065058603703,0.11683030405979276,1.2072464752845251
to_ema20,1.3940481323331189,1.3004547948266552,0.09359333750646381,1.3940481323331189
pos20,0.9225999242137174,0.9747242137173172,0.052124289503599805,1.1206722243273968
