exit,quoted,imputed,win,quoted_n,n,quoted_pct,p5
5 sessions,33.79784395074746,-15.167406850387238,48.59452071076247,2349,16827,13.959707612765198,-106.58919088878218
close day before expiry,14.046852961631206,-22.482255961171376,54.61286704964182,22507,87386,25.755841896871353,-104.59321769733533
expiry day 10:00,13.999756150928476,-13.322927628260533,57.07396776330316,27437,113225,24.23228085670126,-104.90983319386334
expiry day 12:00,14.959745747512704,-16.21038195510686,56.946639731550434,30442,118309,25.730924950764525,-105.02745804488399
expiry day 14:00,15.253335151321021,-16.858591219335008,56.23308011616269,31209,121898,25.602552954109175,-105.32946446762065
expiry day 15:00,18.993444943264475,-19.559065937071882,54.98178091550899,29237,122948,23.779972020691673,-105.68521749281943
ride into the bell,23.127657063051302,-17.75126390835069,55.41362481018004,27141,123143,22.04022965170574,-105.87741084567173
