exit,call,put,combined,win,t,n,spot_corr
2h,-4.114022438243574,-20.56474359173852,-11.538199897976977,14.744830042651582,-19.561319040778482,331289,0.5992729223189222
EOD,-5.61586567020934,-19.926295877296337,-12.121310237068444,14.729365632302258,-18.185911993934567,324386,0.4907439837011836
2d,-8.599590150275285,-17.100953981076124,-12.509877309482354,13.951686552746192,-17.411337994728548,303311,0.4042501142909536
5d,-15.002707741002272,-13.08786382010188,-14.100268977210414,12.023533803330704,-16.642780739451997,235746,0.2991144926573965
