exit,signal,trades,net_mean,net_median,win_rate,day_t,days,first_half,second_half
"target 1.5x, stop 0.6x","call, low IV rank + breakout",1383,0.8156726742274231,0.679557926102503,0.22415039768618944,-16.33169267256531,212,0.7993124274254314,0.8319150518161439
"target 1.5x, stop 0.6x",baseline: any liquid bar,423954,0.8148638972479968,0.7756000000000001,0.19681144652485882,-45.57485926120705,349,0.8195748648378143,0.810338205770004
"target 2x, stop 0.6x","call, 14+ DTE + breakout",9599,0.8139354647094675,0.8223228915662651,0.17449734347327847,-29.219246452350042,168,0.8135050156434896,0.81433839212278
"target 3x, stop 0.7x",baseline: any liquid bar,423954,0.813541783148947,0.6973111779879622,0.142772564948084,-35.786152291345516,349,0.8098016069814384,0.8171348631446723
"target 1.5x, stop 0.6x","call, EMA20 pullback in trend",96964,0.8131506856900714,0.7712616831828885,0.19627903139309436,-42.35966495864233,341,0.8135067704092327,0.8127622603456491
"target 3x, stop 0.7x","call, EMA20 pullback in trend",96964,0.8119328418102957,0.6972515162790698,0.1426921331628233,-35.30264312025628,341,0.8050008650306225,0.8194944004037512
"target 3x, stop 0.7x","call, stock 25-bar breakout",18767,0.8114842502762631,0.6973497557003258,0.14701337454041669,-43.58089272552688,341,0.8049979327959655,0.8180814151855555
"target 3x, stop 0.7x","call, OI +20% over a day",80962,0.811082979226026,0.6973403549319026,0.14557446703391716,-38.980938432379425,321,0.8122316263393698,0.8098576246649883
"target 3x, stop 0.7x","call, breakout + volume surge",11042,0.8093368387615257,0.6973874826789838,0.1416410070639377,-44.44512396609971,340,0.8023563192558896,0.8163148300094635
"target 3x, stop 0.7x","call, OI up + premium up",31173,0.8020536099902558,0.6972941838979323,0.12882943572963781,-43.443492191506714,317,0.8033046546233815,0.8006786486743928
"target 2x, stop 0.6x","call, stock +3% in a day",28642,0.7992199482841097,0.7770156099139935,0.1732420920326793,-27.8027309298048,323,0.7920142669272046,0.8046040995035771
"target 2x, stop 0.6x","call, under Rs 3 + momentum",5281,0.7988736831273192,0.6173142857142857,0.1897367922741905,-22.89012593757069,332,0.8139951421026331,0.7792296110409732
"target 2x, stop 0.6x","call, stock +1% in an hour",28725,0.797922484162289,0.7609580009610765,0.1746562228024369,-41.65685716843002,341,0.7948592296645577,0.8003204998636225
