exit,prefix,pnl,roi,win,p10,t,days,n
2h,i_,-3.7907881087156374,-22.901115784264032,34.75707282771897,-103.5267889780258,-7.65061152153095,0.0,346997
EOD,i_,-3.6586868605958793,-21.9307266512309,39.557335494499966,-104.80689743658283,-8.029573031461029,1.0,338089
2d,i_,-3.3057872597079077,-19.56957788329761,43.21207165405241,-105.65130187640432,-6.420360969966186,2.0,315516
5d,i_,-2.686228420859772,-15.365585164393043,48.82378144573888,-106.93945606821988,-3.482959813931366,7.0,245065
