exit,trades,risk,pnl,pct,mean,worst
2h,516958,5645680868.8,-234075756.15775,-4.146103217617812,-452.79453293642814,-273032.92799999996
EOD,505419,5687798095.05,-276219859.64192,-4.856358383788441,-546.5165726692506,-348261.8700000002
2d,475408,5431015202.35,-378312817.65503,-6.965784545978329,-795.7645173304404,-302259.53400000004
5d,386357,4640205757.3,-447208691.97490996,-9.637690985391293,-1157.5012021910045,-1492392.2999999998
